公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-03-19 10:06:22,最后1周！今年最值得关注的AIGC企业/产品正在评选中,2025年度AIGC企业与产品评选启动,量子位公众号宣布将于2025年3月24日截止报名，评选出2025年值得关注的AIGC企业和产品。评选将基于过去一年企业和产品的表现、技术创新及市场潜力等维度。评选结果将在4月16日的第三届中国AIGC产业峰会上公布，届时将邀请多位行业领军人物分享对生成式AI的见解与趋势。期待更多有潜力的企业和产品走入大众视野。,Other,Other,"袁佛玉, 关玮雅, 吴欣鸿, 徐元春, 林咏华, 卢志武",https://mp.weixin.qq.com/s/_78Lr9iFN9U19ywtP-AnnQ
量子位,2025-03-19 10:06:22,可灵接入DeepSeek-R1，一手实测在此：AI视频创作，不用学写提示词了,可灵与DeepSeek-R1的结合：简化AI视频创作过程,可灵最近接入了DeepSeek-R1，显著简化了AI视频创作中的提示词生成过程。用户只需输入简单的关键词，R1便能自动扩展为详细的提示词，帮助生成高质量的视频内容。文章通过多种示例展示了R1在理解和优化提示词方面的能力。此外，可灵还发布了名为ReCamMaster的镜头重建工具，支持多种镜头操作，进一步推动视频生成技术的发展。,Other,Other,"白健弘, 胡浩基, 张迪, 万鹏飞",https://mp.weixin.qq.com/s/Z1uJfPgFnM2JQmDA_EJbkg
量子位,2025-03-19 10:06:22,清华推出开源具身智能框架：用VLM解决机器人动作异构一致性难题，性能超越14倍参数对手,清华推出开源具身智能框架UniAct，解决机器人动作异构一致性问题,清华智能产业研究院（AIR）团队与商汤研究院等机构联合发布了具身智能框架UniAct，旨在解决机器人动作空间的异构一致性问题。UniAct基于视觉语言模型，构建了首个tokenized通用动作空间，并在多项评测中超越了参数量达14倍的OpenVLA。该框架通过通用动作编码、异质解码器和轻量化架构实现了高效的跨机器人泛化能力，展现了在复杂环境下的优异表现。UniAct的开源代码和论文已发布，标志着具身智能领域的重要进展。,Embodied AI,THU,None,https://mp.weixin.qq.com/s/G3Mc00e0Mh9X82X-uQiT-Q
新智元,2025-03-19 07:36:38,刚刚，老黄携GB300震撼登场！DeepSeek推理暴涨40倍加速全球最快，26年Rubin问世,英伟达发布Blackwell Ultra与Rubin GPU，推理性能大幅提升,在2025年GTC大会上，英伟达CEO黄仁勋宣布了新一代GPU Blackwell Ultra和Rubin的推出，前者的推理性能提升了40倍，后者预计在2026年问世。新产品将推动AI计算需求的增长，英伟达的未来路线图显示将构建云上、企业和机器人AI基础设施。Rubin GPU的性能将大幅超越前代产品，显存和带宽也有显著提升，标志着AI芯片技术的重大进步。,Other,Other,黄仁勋,https://mp.weixin.qq.com/s/kGT4R4yQU38znq7w0_aLEQ
新智元,2025-03-19 07:36:38,首次，6人7天真人秀！南洋理工等发布第一视角AI生活管家数据EgoLife,EgoLife: First-Person Perspective AI Life Assistant Data Released by NTU Researchers,"The EgoLife project, initiated by researchers from LMMs-Lab and MMLab at NTU, has created a comprehensive first-person perspective dataset by collecting multi-modal life data from six volunteers over a week. This dataset, comprising 300 hours of video and audio, aims to develop an AI life assistant that can understand daily life and provide personalized assistance. The EgoButler system includes modules for video understanding and long-term memory Q&A, addressing the need for AI to comprehend long-term behavioral patterns and social interactions.",Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/WQWcwFJSPJpR_4jF-M-Wfw
新智元,2025-03-19 07:36:38,全美高校掀起AI作弊风暴！近50%大学生用ChatGPT拿高分，OpenAI私藏检测工具,美国高校中AI作弊现象的调查与影响,一项媒体调查显示，近40%的中学生和近50%的大学生在美国利用AI工具如ChatGPT进行作弊，以获取高分。这种现象引发了教育界的广泛关注，教师和家长面临如何应对的挑战。尽管AI在课堂上有其价值，但滥用现象的普遍性令人担忧。OpenAI等科技公司在防止学生作弊方面提供的支持不足，教育界对此表示忧虑，认为AI可能会影响学生的学习质量。,LLM,OpenAI,"Marc Watkins, John B. King Jr., Siya Raj Purohit, Paul Graham",https://mp.weixin.qq.com/s/SzaFkSzK75mw7UCSGTRRQQ
量子位,2025-03-19 06:20:28,仅凭RGB图像实现户外场景高精度定位与重建，来自港科广团队 | ICRA 25,基于RGB图像的户外场景高精度定位与重建方法,港科广团队提出了一种新型的SLAM方法OpenGS-SLAM，仅使用RGB图像实现户外场景的高精度定位与重建。该方法通过点图回归网络生成一致的3D结构点图，结合相机位姿估计与3D高斯分布渲染，显著提高了系统的跟踪精度。实验结果显示，OpenGS-SLAM在Waymo数据集上将追踪误差降低至现有3DGS方法的9.8%。,Other,Other,None,https://mp.weixin.qq.com/s/yxE6m7UWiFeqox4Z06JfTw
量子位,2025-03-19 06:20:28,240元打造擅长数学的多模态版R1，基于DeepSeek核心思想，两阶段训练提升推理能力至工业级应用标准,基于DeepSeek的LMM-R1框架提升多模态模型数学推理能力,本文介绍了LMM-R1框架，该框架通过创新的两阶段训练策略显著提升了小型多模态大模型在数学推理任务上的能力。研究团队利用高质量的文本推理数据，首先增强模型的基础推理能力，然后将其泛化到多模态领域。实验结果表明，该框架在推理密集型任务中表现优异，且显著降低了训练成本，为多模态模型的工业应用奠定了基础。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/7_55y_dTroQ4bWpJsgdXDg
量子位,2025-03-19 06:20:28,老黄发布新核弹B300，英伟达：B200已破DeepSeek-R1推理世界纪录,英伟达发布新一代AI芯片GB300及个人AI超级计算机,在2025年GTC大会上，英伟达首席执行官黄仁勋发布了新一代AI芯片GB300，其推理性能较GB200提升1.5倍，并预览了未来的Vera Rubin芯片，预计性能将是GB300的3.3倍。此外，英伟达推出了两款个人AI超级计算机DGX Spark和DGX Station，旨在为研究人员和开发者提供强大的AI计算能力。大会还介绍了新一代以太网平台Spectrum-X和开源推理服务库NVIDIA Dyamo，进一步提升AI性能和效率。,LLM,Other,黄仁勋,https://mp.weixin.qq.com/s/-c_9tve4yskWUNlb2OHuow
量子位,2025-03-19 06:20:28,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻找对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点在北京中关村。候选人需具备对AI技术的热情、良好的文字表达能力及信息搜集能力。加入量子位将获得与行业专家接触的机会，参与内容运营，并享受竞争力的薪资和福利。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/PIC_K33SLovEn2JJMgyFqQ
机器之心,2025-03-19 05:35:49,专为DeepSeek类强推理加速，老黄拿出Blackwell Ultra，下代架构性能还要翻倍,英伟达发布Blackwell Ultra加速器，推动AI推理性能提升,在2025年GTC大会上，英伟达CEO黄仁勋宣布Blackwell Ultra加速器已全面投产，并预计在2025年下半年上市。新架构将大幅提升AI推理性能，满足不断增长的计算需求。英伟达正在构建三种AI基础设施，分别用于云、企业和机器人。随着AI技术的进步，推理将成为未来十年的关键工作负载，英伟达也为此推出了新的CUDA X软件库，以支持各类AI应用的开发和部署。,Other,Other,黄仁勋,https://mp.weixin.qq.com/s/UAbndzItf7WE6KS5VZ4YZA
机器之心,2025-03-19 05:35:49,Django创造者Simon Willison分享：我如何使用LLM帮我写代码,Simon Willison分享使用LLM辅助编程的经验,在这篇文章中，Django的创造者Simon Willison分享了他如何利用大型语言模型（LLM）来辅助编程的经验和策略。他探讨了氛围编程的概念，强调了设定合理期望的重要性，并提供了在使用LLM时管理上下文的建议。Willison还提到，尽管LLM在编程中表现出色，但仍需谨慎对待其局限性，并强调了开发速度和知识增强的优势。,LLM,OpenAI,"Simon Willison, Andrej Karpathy",https://mp.weixin.qq.com/s/ZuiryS5ZfzjHR8TJIV9fYQ
机器之心,2025-03-19 05:35:49,无需百卡集群！港科等开源LightGen: 极低成本文生图方案媲美SOTA模型,LightGen: 一种高效的图像生成模型,LightGen是由香港科技大学与Everlyn AI合作开发的一种新型高效图像生成模型，旨在通过知识蒸馏和直接偏好优化技术，在有限的数据和计算资源下实现高质量图像生成。该模型在性能上与现有最先进的生成模型相媲美，同时显著降低了计算成本和数据需求，展示了在资源受限环境下的应用潜力。,Diffusion Model,Other,"Harry Yang, Xianfeng Wu",https://mp.weixin.qq.com/s/CNZoIxRbOO37rbEgwqLNQg
机器之心,2025-03-19 05:35:49,世界模型在机器人任务规划中的全新范式：NUS邵林团队提出通用机器人规划模型FLIP,基于世界模型的通用机器人规划模型FLIP,新加坡国立大学的邵林团队提出了一种新型的机器人任务规划框架FLIP，旨在通过构建类似于人类的世界模型来提升机器人的通用任务规划能力。该方法结合了图像流生成网络、动力学模型和价值模型，能够在复杂的多阶段任务中进行有效的规划。FLIP框架的设计使得机器人可以在执行任务前进行更灵活的规划，具有广泛的应用潜力。该研究已发表在ICLR 2025上，并在CoRL 2024 LEAP Workshop中获得口头报告机会。,Embodied AI,Other,"邵林, 高崇凯, 徐志轩, 蔡哲豪, 张浩卓",https://mp.weixin.qq.com/s/53yrBcN9ec6ypf0NRsHjRQ
量子位,2025-03-19 12:11:09,真·MoE？路由LLM最全面探索：一种笔记本也能玩的大模型Scaling Up研究,Routing LLM的全面探索与Model-level Scaling Up研究,本文介绍了路由LLM（Routing LLM）的最新研究，涉及8500多个大语言模型（LLM）在12个基准测试中的2亿条性能记录。研究发现，具有分类能力的Router能够显著提升路由LLM的性能，尤其是在LLM候选数量增加时，表现出Model-level Scaling Up现象。通过构建RouterEval评测工具，研究者可以在低计算资源下参与路由LLM的研究，推动该领域的发展。,LLM,Other,None,https://mp.weixin.qq.com/s/OQFUcemTEmGC0eKUO_Fuiw
量子位,2025-03-19 12:11:09,AI一周写出ICLR研讨会论文！成果简洁有效获审稿人大赞,AI自主撰写ICLR论文的成功案例,AI系统Zochi在不到一周的时间内成功撰写并提交了两篇ICLR研讨会论文，均获得了审稿人的高度评价。第一篇论文提出了一种名为CS-ReFT的微调方法，使得7B的Llama-2超越了GPT-3.5，第二篇论文则介绍了Siege框架，成功实现了对大模型安全漏洞的检测。Zochi的研究展示了多智能体协作在科学研究中的应用潜力。,LLM,Meta,"Ron Arel, Andy Zhou",https://mp.weixin.qq.com/s/KPGmPw5CCfyUMDv5XK_ziw
