公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,URL
机器之心,2025-03-15 09:33:50,「压缩即智能」得到实验验证，无需预训练和大量数据就能解决ARC-AGI问题,无损信息压缩在ARC-AGI问题中的应用研究,卡内基梅隆大学的研究团队通过实验验证了无损信息压缩能够产生智能行为的观点，提出了一种名为CompressARC的方法。该方法在ARC-AGI基准上表现良好，且无需预训练和大量数据。研究表明，通过压缩可以有效解决ARC-AGI谜题，挑战了传统依赖大量数据和预训练的AI方法。该团队的成果为理解智能行为的本质提供了新的视角。,AGI,Other,https://mp.weixin.qq.com/s/IuqM9BmA_mAULqfd40YwmA
机器之心,2025-03-15 09:33:50,AI进入推理模型时代，一文带你读懂思维链,推理模型时代的思维链技术分析,本文探讨了推理模型DeepSeek R1及其思维链（CoT）技术在AI领域的重要性。思维链通过逐步推理提升大型语言模型的答案准确性，文章回顾了相关研究进展和技术实现，特别是DeepMind和普林斯顿大学的贡献。作者还讨论了如何通过提示工程激活模型的推理能力，并评估了不同模型在推理任务中的表现，强调了推理链技术的潜力和未来研究方向。,LLM,"DeepMind, OpenAI",https://mp.weixin.qq.com/s/-dPdlmoFruKsX2cydFKO6g
新智元,2025-03-15 09:13:36,纽约时报重磅曝料：特朗普任期内将实现AGI，美国政府早知AGI即将降临！,美国政府对通用人工智能（AGI）即将到来的准备与挑战,纽约时报报道指出，美国政府已意识到通用人工智能（AGI）即将实现，但尚未做好充分准备。前AI顾问Ben Buchanan强调AGI对国家安全和经济的重要性，并讨论了美国在这一领域的竞争压力。尽管AGI的到来被广泛认为是不可避免的，但社会和政策制定者仍需应对相关挑战和不确定性。文章还提到特朗普政府的幕僚对AI的态度，以及AGI可能对劳动力市场和全球力量平衡的影响。,AGI,Other,https://mp.weixin.qq.com/s/umvhSER6sUHXLTIMMAo_tg
量子位,2025-03-14 19:22:31,人大北邮等团队解视触觉感知统一难题，模型代码数据集全开源 | ICLR 2025,人大北邮等团队提出统一视触觉感知模型及数据集,中国人民大学、北京邮电大学和武汉科技大学的研究团队提出了一种新的视触觉感知模型，旨在解决多传感器触觉信息的统一表征问题。该模型结合了静态和动态触觉特征，通过开源的多模态触觉数据集TacQuad，支持多种传感器的数据融合。研究强调了触觉感知在机器人操作中的重要性，并为未来的触觉感知系统提供了新的思路和基础。,Embodied AI,Other,https://mp.weixin.qq.com/s/L_1ScuYs-7XXp1gspEG6bg
量子位,2025-03-14 19:22:31,游戏也可以Copilot！微软CEO纳德拉亲自站台：玩家有福了,微软推出游戏Copilot：AI助手助力玩家提升游戏体验,微软CEO纳德拉宣布推出“Copilot for Gaming”，一款基于人工智能的游戏助手，旨在为玩家提供实时指导和建议。该助手可以帮助新手玩家在《我的世界》和《守望先锋2》等游戏中更快上手，优化团队配置，并在对战中提供策略建议。游戏Copilot将于4月进行内测，旨在提升玩家的游戏体验，尽管引发了关于游戏作弊的讨论。,Agent,Microsoft,https://mp.weixin.qq.com/s/Mcv7XsjjZzx1IZPmq3mkOw
量子位,2025-03-14 19:22:31,国产人形机器人破全球纪录！连续空翻一镜到底，量产3.99w起售,国产人形机器人N2实现连续空翻并开启预售,国产人形机器人N2在全球首次实现室内外多场景连续空翻，展示出卓越的运动能力和稳定性。该机器人身高1.2米，重30公斤，具备多种运动能力，最高奔跑速度可达每秒3.5米。目前N2已开启预售，起售价为3.99万元。其成功得益于轻量化设计、创新算法和高效的工程实践，展现了中国在机器人领域的快速发展。N2的研发团队为清华系创业公司NOETIX Robotics。,Embodied AI,THU,https://mp.weixin.qq.com/s/ZvhA57ejJJuTXBK8DLzZbQ
量子位,2025-03-14 19:22:31,倒计时2周！今年最值得关注的AIGC企业/产品正在评选中,2025年度AIGC企业与产品评选启动,量子位公众号宣布将于2025年3月24日截止报名，评选出2025年值得关注的AIGC企业和产品。评选将基于过去一年AIGC企业和产品的表现，结合对未来技术与场景的观察，旨在发现和推广具有潜力的AI企业和产品。评选标准包括技术、产品、市场和潜力等多个维度。最终结果将在4月的中国AIGC产业峰会上公布。,Other,Other,https://mp.weixin.qq.com/s/Hj5HlzMJRNYPAKTwIMrx-A
量子位,2025-03-14 19:22:31,CVPR 2025：长Prompt对齐问题也能评估了！当前最大AIGC评估数据集，模型评分超越当前SOTA,CVPR 2025：长Prompt对齐问题的评估与Q-Eval-100K数据集的发布,在CVPR 2025大会上，AGI-Eval团队发布了Q-Eval-100K数据集和Q-Eval-Score评估框架，旨在解决现有文本到视觉评估中的关键问题。该数据集包含100K条AIGC生成数据，涵盖60K图片和40K视频，标注质量高，能够有效评估视觉质量和文本一致性。研究表明，基于该数据集训练的模型在多个评估基准上表现优异，推动了AIGC评估的进步。,Multimodal LLM,Other,https://mp.weixin.qq.com/s/putUJtJ7vxQuK95wuJMmqQ
量子位,2025-03-14 19:22:31,提出机器人自主学习新范式，深大团队最新顶会论文，刷新6大复杂任务SOTA,ROSKA框架：机器人自主学习的新范式,深圳大学李坚强教授团队提出了一种新的机器人自主学习框架ROSKA，结合奖励函数与策略的协同进化机制。在多个高维度机器人任务中，该框架在仅使用89%训练样本的情况下，平均性能提升95.3%，刷新了六类复杂任务的SOTA表现。ROSKA框架通过动态调整奖励函数，显著提高了策略的适应性和可塑性，展示了在复杂环境中机器人学习的潜力。该研究成果已被AAAI 2025收录。,Embodied AI,Other,https://mp.weixin.qq.com/s/ctBuRz0XRdfCNVlkDX165g
新智元,2025-03-14 16:34:30,何恺明LeCun暴击Transformer命门，9行代码砍掉归一化层！性能反而更强了？,何恺明与LeCun合作提出无归一化层的Transformer架构,本文报道了何恺明与Yann LeCun等研究者联手提出的一种新型Transformer架构，该架构通过9行代码去除传统归一化层，采用动态Tanh（DyT）替代，结果显示性能不减反增。这一发现挑战了归一化层在深度学习中的必要性，可能为降低模型训练和推理成本提供新思路。研究表明，DyT在多种模型中表现优于传统归一化方法，具有广泛的应用潜力。,Other,"Meta, THU",https://mp.weixin.qq.com/s/1zxtlSrcc2HRs2DnY6I66g
