标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"One-Step Residual Shifting Diffusion for Image Super-Resolution via
  Distillation",通过蒸馏实现的一步残差转移扩散图像超分辨率,Diffusion Model,Other,https://arxiv.org/pdf/2503.13358,https://huggingface.co/papers/2503.13358,本文提出了一种新的图像超分辨率（SR）方法RSD，旨在解决现有扩散模型在计算成本和视觉质量上的不足。RSD通过一种蒸馏方法训练学生网络，使其生成的图像与教师模型输出一致，从而实现单步恢复。实验表明，RSD在感知质量上超越了其他蒸馏方法（如SinSR），并与最先进的扩散模型相当。与基于预训练文本生成模型的SR方法相比，RSD在保持高质量图像的同时，减少了参数和GPU内存需求。研究在多个真实和合成数据集上进行了验证，结果显示出RSD的优越性。,75
"Stop Overthinking: A Survey on Efficient Reasoning for Large Language
  Models",停止过度思考：大型语言模型高效推理的调查,LLM,OpenAI,https://arxiv.org/pdf/2503.16419,https://huggingface.co/papers/2503.16419,本论文对大语言模型（LLMs）在高效推理方面的研究进行了系统性调查，重点探讨了应对“过度思考”现象的方法。尽管更长的推理链（CoT）可以提升性能，但也带来了显著的计算开销。作者将现有研究分为三大方向：模型优化、推理输出动态调整和输入提示优化，以实现高效推理。论文还探讨了使用高效数据训练推理模型的潜力，并评估小型语言模型的推理能力。通过建立公共资源库，作者旨在持续跟踪该领域的最新进展。,47
Survey on Evaluation of LLM-based Agents,基于LLM的智能体评估调查,Agent,Other,https://arxiv.org/pdf/2503.16416,https://huggingface.co/papers/2503.16416,本论文对基于大型语言模型（LLM）的智能体评估方法进行了首次全面调查，分析了评估基准和框架的四个关键维度：基本能力（如规划、工具使用、自我反思和记忆）、特定应用领域的基准（如网络、软件工程、科学和对话智能体）、通用智能体的基准，以及评估框架。研究揭示了向更现实和具有挑战性的评估转变的趋势，并指出了在成本效益、安全性和鲁棒性评估等方面的研究空白。该调查为快速发展的智能体评估领域提供了清晰的地图，识别了当前的限制，并提出了未来研究的方向。,43
Unleashing Vecset Diffusion Model for Fast Shape Generation,释放Vecset扩散模型以实现快速形状生成,Diffusion Model,Tencent,https://arxiv.org/pdf/2503.16302,https://huggingface.co/papers/2503.16302,本论文提出了FlashVDM，一个系统框架，用于加速Vecset扩散模型（VDM）在3D形状生成中的应用。尽管VDM在生成高分辨率3D形状方面表现出色，但其生成速度仍显不足。FlashVDM通过引入渐进流蒸馏和高效的解码器设计，显著提高了模型的推理速度，减少了重建和生成的推理时间，分别提升了超过45倍和32倍。通过对Hunyuan3D-2的应用，FlashVDM在保持与现有最先进技术相当的性能的同时，展示了其在快速3D生成领域的显著优势。,32
Cosmos-Reason1: From Physical Common Sense To Embodied Reasoning,Cosmos-Reason1：从物理常识到具身推理,Multimodal LLM,Other,https://arxiv.org/pdf/2503.15558,https://huggingface.co/papers/2503.15558,本文介绍了Cosmos-Reason1模型，旨在提升物理人工智能系统的理解与决策能力，使其能够在物理世界中进行复杂操作。研究重点在于物理常识和具身推理，提出了两个层次的本体结构来表示这些知识。开发了两种多模态大型语言模型（Cosmos-Reason1-8B和Cosmos-Reason1-56B），通过视觉预训练、监督微调和强化学习等四个阶段进行训练。评估结果表明，采用物理AI微调与强化学习显著提升了模型性能。研究成果将为物理AI的发展提供基础，并将代码和预训练模型开放共享。,27
Scale-wise Distillation of Diffusion Models,扩散模型的尺度级蒸馏,Diffusion Model,Other,https://arxiv.org/pdf/2503.16397,https://huggingface.co/papers/2503.16397,本论文提出了一种名为SWD的规模化蒸馏框架，用于扩散模型（DMs），旨在通过逐步生成和上采样降低计算成本。SWD借鉴了扩散过程与隐式谱自回归的关系，允许模型在较低的数据分辨率下启动生成，并在每个去噪步骤中逐渐提升样本质量。该方法自然融入现有的基于分布匹配的蒸馏技术，并引入了一种新颖的补丁损失函数，以增强目标分布的细粒度相似性。应用于文本到图像的扩散模型时，SWD显著提高了推理速度，并在相同计算预算下超越了其他方法，展示了其在图像生成领域的潜力。,26
"JARVIS-VLA: Post-Training Large-Scale Vision Language Models to Play
  Visual Games with Keyboards and Mouse",JARVIS-VLA：后训练的大规模视觉语言模型用于通过键盘和鼠标玩视觉游戏,Embodied AI,PKU,https://arxiv.org/pdf/2503.16365,https://huggingface.co/papers/2503.16365,本文提出了一种新的后训练方法——视觉语言行动（VLA）模型，通过自监督的视觉和语言指导，提升了视觉语言模型（VLMs）在开放世界环境中的决策能力。该方法显著增强了模型的世界知识、视觉识别和空间定位能力，使其能够在Minecraft中执行超过1000种人类指令的任务，如制作、冶炼和采矿。实验结果表明，该模型在多样化的原子任务上较最佳基线提高了40%的性能，并超越了传统的模仿学习策略，达到了最先进的表现。研究成果及相关代码和数据集已开源，以促进进一步研究。,25
DiffMoE: Dynamic Token Selection for Scalable Diffusion Transformers,DiffMoE：可扩展扩散变换器的动态令牌选择,Diffusion Model,Other,https://arxiv.org/pdf/2503.14487,https://huggingface.co/papers/2503.14487,本文提出了一种新颖的动态令牌选择架构DiffMoE，旨在提升扩散变换器在图像生成任务中的表现。DiffMoE通过引入批量级的全局令牌池，使专家能够在训练过程中访问全局令牌分布，从而促进专业化的专家行为。该方法还结合了动态容量预测器，根据噪声水平和样本复杂性动态分配计算资源。经过全面评估，DiffMoE在ImageNet基准测试中表现优异，显著超越了传统密集架构和现有的专家模型，且在维持相同计算参数的情况下，展现出在更具挑战性的任务（如文本到图像生成）中的广泛适用性。,23
Why Do Multi-Agent LLM Systems Fail?,为什么多智能体大语言模型系统会失败？,Agent,Other,https://arxiv.org/pdf/2503.13657,https://huggingface.co/papers/2503.13657,本文对多智能体系统（MAS）中的挑战进行了首次全面研究，尽管这些系统在多个任务中表现出色，但与单智能体框架相比，性能提升仍然有限。研究分析了五个流行的MAS框架，识别出14种独特的失败模式，并提出了一种适用于不同MAS框架的分类法。这些失败模式被归纳为三个主要类别：系统设计失败、智能体间的不一致以及任务验证与终止问题。此外，论文提出了改善智能体角色规范和增强协调策略的干预措施，以减少这些失败。研究结果为未来的研究提供了明确的方向，并开源了相关数据集和LLM注释工具。,21
InfiniteYou: Flexible Photo Recrafting While Preserving Your Identity,InfiniteYou：灵活的照片重塑与身份保留,Diffusion Model,ByteDance,https://arxiv.org/pdf/2503.16418,https://huggingface.co/papers/2503.16418,论文《InfiniteYou: Flexible Photo Recrafting While Preserving Your Identity》提出了一种新框架InfiniteYou（InfU），旨在实现高保真度的身份保留图像生成。InfU利用先进的扩散变换器（DiTs），通过引入InfuseNet模块增强身份相似性，同时保持生成能力。该框架采用多阶段训练策略，结合合成的单人多样本数据，改善文本与图像的对齐，提高图像质量，并减少面部复制问题。实验结果表明，InfU在性能上超越了现有基准，并且其即插即用的设计确保了与多种现有方法的兼容性，为相关领域提供了重要贡献。,20
"Plug-and-Play 1.x-Bit KV Cache Quantization for Video Large Language
  Models",即插即用的1.x位KV缓存量化方法用于视频大语言模型,Multimodal LLM,Other,https://arxiv.org/pdf/2503.16257,https://huggingface.co/papers/2503.16257,本论文提出了一种名为VidKV的插件式KV缓存量化方法，旨在降低视频大型语言模型（VideoLLMs）中的KV缓存内存需求。研究发现，2位KV量化对模型性能影响甚微，但更低位数的量化尚未得到充分探索。VidKV通过混合精度量化策略对键进行处理，并对值实施1.58位量化，同时选择性过滤重要的视觉标记，以实现精度与性能之间的良好平衡。实验结果表明，VidKV能够将KV缓存压缩至1.5位和1.58位，而几乎不影响模型性能，显著提高了推理速度和内存效率。,17
"MathFusion: Enhancing Mathematic Problem-solving of LLM through
  Instruction Fusion",MathFusion：通过指令融合增强大语言模型的数学问题解决能力,LLM,"Shanghai AI Lab, THU, PKU",https://arxiv.org/pdf/2503.16212,https://huggingface.co/papers/2503.16212,论文介绍了MathFusion，一个新框架，通过跨问题指令融合来提升大型语言模型（LLMs）的数学推理能力。MathFusion采用三种融合策略：顺序融合、并行融合和条件融合，以更好地捕捉数学知识中的内在关系。通过这些策略，研究团队生成了新的数据集MathFusionQA，并对多个模型进行了微调。实验结果表明，MathFusion在保持高数据效率的同时，显著提高了数学推理的准确性，平均提升18.0个百分点，且只需额外45K的合成指令。该研究为数学问题解决提供了新的思路和方法。,17
SynCity: Training-Free Generation of 3D Worlds,SynCity：无训练生成3D世界,Other,Other,https://arxiv.org/pdf/2503.16420,https://huggingface.co/papers/2503.16420,本文提出了一种名为SynCity的方法，旨在从文本描述生成复杂的3D世界。该方法无需训练或优化，结合了预训练的3D生成模型的几何精度与2D图像生成器的艺术灵活性。与传统的以对象为中心的3D生成模型不同，SynCity采用基于瓦片的生成策略，逐块构建场景，允许对布局和外观进行细致控制。通过这种方法，SynCity能够生成丰富多样且引人入胜的3D场景，显著简化了3D内容的创建过程，具有广泛的应用潜力。,15
Inside-Out: Hidden Factual Knowledge in LLMs,从内到外：大语言模型中的隐性事实知识,LLM,Google,https://arxiv.org/pdf/2503.15299,https://huggingface.co/papers/2503.15299,本文提出了一种框架，用于评估大型语言模型（LLMs）是否在其参数中编码了比其输出中表达的更多事实知识。研究定义了知识的量化方法，并区分了外部知识和内部知识，发现隐藏知识存在于内部知识超过外部知识的情况下。通过对三种流行的开放权重LLM进行案例研究，结果表明LLMs内部编码的事实知识平均比外部表达多40%。值得注意的是，有些知识如此隐蔽，以至于模型可以完美地内部知道答案，却从未生成过。这一发现揭示了LLMs生成能力的根本限制，并对闭卷问答中的计算效率提出了挑战。,14
