标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"Dita: Scaling Diffusion Transformer for Generalist
  Vision-Language-Action Policy",Dita：扩展扩散变换器用于通用视觉-语言-动作策略,Embodied AI,"Shanghai AI Lab, PKU, THU",https://arxiv.org/pdf/2503.19757,https://huggingface.co/papers/2503.19757,论文介绍了Dita，一个基于Transformer架构的可扩展框架，旨在提升通用视觉-语言-动作策略的适应性。Dita通过统一的多模态扩散过程直接去噪连续动作序列，克服了传统方法在异构动作空间中的局限。其创新的上下文条件设计实现了去噪动作与历史观测的细致对齐，从而更好地建模动作变化和环境细节。Dita在多种机器人任务中展现出卓越的鲁棒性，能够在复杂场景和不同环境条件下进行有效的10-shot适应，推动了通用机器人策略学习的发展。,35
Qwen2.5-Omni Technical Report,Qwen2.5-Omni技术报告,Multimodal LLM,Other,https://arxiv.org/pdf/2503.20215,https://huggingface.co/papers/2503.20215,Qwen2.5-Omni是一种端到端的多模态模型，能够同时处理文本、图像、音频和视频，并实时生成文本和自然语音回应。该模型采用块处理方法来流式传输多模态信息，并通过创新的时间对齐位置嵌入（TMRoPE）同步音频与视频。其架构分为Thinker和Talker，前者负责文本生成，后者则生成音频输出。Qwen2.5-Omni在多个多模态基准测试中表现出色，尤其在语音指令跟随和语音生成方面，其流式输出在自然性和鲁棒性上优于大多数现有模型。这使其在语音对话和视频推理等任务中具有广泛应用潜力。,33
LEGO-Puzzles: How Good Are MLLMs at Multi-Step Spatial Reasoning?,LEGO-拼图：多模态大语言模型在多步骤空间推理中的表现如何？,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.19990,https://huggingface.co/papers/2503.19990,本论文提出了LEGO-Puzzles，一个用于评估多模态大型语言模型（MLLMs）在多步骤空间推理能力的基准。该基准包含1100个视觉问答样本，涵盖从基本空间理解到复杂多步骤推理的11个任务。研究发现，现有的最先进MLLMs在空间推理方面存在显著局限，准确率仅约50%，而人类参与者的准确率超过90%。此外，只有少数模型在生成遵循装配图的LEGO图像方面表现出一定能力。整体而言，LEGO-Puzzles揭示了当前MLLMs在空间理解和序列推理方面的关键不足，强调了进一步发展的必要性。,24
Wan: Open and Advanced Large-Scale Video Generative Models,Wan：开放与先进的大规模视频生成模型,Diffusion Model,Alibaba,https://arxiv.org/pdf/2503.20314,https://huggingface.co/papers/2503.20314,论文介绍了Wan，一个开放的高级视频生成模型套件，旨在推动视频生成技术的发展。Wan基于主流的扩散变换器架构，通过创新的空间-时间变分自编码器、可扩展的预训练策略和大规模数据整理，显著提升了生成能力。其14B参数模型在数十亿图像和视频的数据集上训练，表现优于现有的开源和商业模型。Wan提供1.3B和14B两个版本，适用于不同的应用场景，并具备出色的资源效率，适合普通消费者使用。此外，所有模型和代码均已开源，旨在促进视频生成社区的发展。,22
"Unconditional Priors Matter! Improving Conditional Generation of
  Fine-Tuned Diffusion Models",无条件先验很重要！改善微调扩散模型的条件生成,Diffusion Model,Other,https://arxiv.org/pdf/2503.20240,https://huggingface.co/papers/2503.20240,本论文探讨了无条件先验在条件生成中的重要性，提出了一种改进方法以提升微调扩散模型的生成质量。研究发现，现有的无条件噪声预测能力不足，严重影响了条件生成的效果。通过用基模型预测的无条件噪声替换微调模型中的无条件噪声，显著提升了生成质量。此外，论文还表明，不同于微调模型的扩散模型同样可以用于无条件噪声的替代。实验结果在多个条件扩散模型（如Zero-1-to-3、Versatile Diffusion、InstructPix2Pix等）上得到了验证，显示出该方法的有效性。,18
Open Deep Search: Democratizing Search with Open-source Reasoning Agents,开放深度搜索：通过开源推理智能体实现搜索的民主化,Agent,Other,https://arxiv.org/pdf/2503.20201,https://huggingface.co/papers/2503.20201,本文介绍了Open Deep Search (ODS)，旨在缩小开放源代码搜索AI解决方案与专有搜索AI之间的差距。ODS通过引入开放搜索工具和开放推理代理，增强了最新开源大型语言模型（LLMs）的推理能力，使其能够更有效地利用网络搜索工具回答查询。ODS在两个基准测试（SimpleQA和FRAMES）中表现出色，甚至在FRAMES基准上比现有的最佳专有解决方案提高了9.7%的准确率。该框架不仅提升了开源LLMs的性能，还促进了搜索AI领域的透明性和创新，推动了开发者社区的成长。,18
"GenHancer: Imperfect Generative Models are Secretly Strong
  Vision-Centric Enhancers",GenHancer：不完美的生成模型在视觉中心增强中的潜在强大,Multimodal LLM,Tencent,https://arxiv.org/pdf/2503.19480,https://huggingface.co/papers/2503.19480,本论文提出了GenHancer，一种新颖的视觉增强方法，旨在改善生成模型与判别模型（如CLIP）之间的协同作用。研究发现，视觉上完美的生成结果并不总能有效提升表示能力。通过分析条件机制、去噪配置和生成范式，作者提出使用全球视觉标记作为条件、采用两阶段训练策略，以及利用轻量级去噪器来提取有用的细粒度知识。实验表明，GenHancer在MMVP-VLM基准上显著超越了现有方法，提升了多模态大语言模型的视觉性能。所有模型和代码均已公开。,12
"BizGen: Advancing Article-level Visual Text Rendering for Infographics
  Generation",BizGen：推进信息图生成的文章级视觉文本渲染,Other,"Microsoft, THU",https://arxiv.org/pdf/2503.20672,https://huggingface.co/papers/2503.20672,本文提出了BizGen，一个针对文章级视觉文本渲染的创新系统，旨在生成高质量的商业内容，如信息图和幻灯片。与现有的句子级生成模型相比，BizGen处理更长的上下文和超密集布局，面临更大的挑战。论文的主要贡献包括构建了一个高质量商业内容数据集Infographics-650K，以及提出了一种布局引导的交叉注意机制，以灵活处理多个子区域。实验结果表明，BizGen在生成效果上超越了现有的先进模型，推动了商业内容生成领域的发展。,10
Gemini Robotics: Bringing AI into the Physical World,双子机器人：将人工智能带入物理世界,Embodied AI,"DeepMind, Google",https://arxiv.org/pdf/2503.20020,https://huggingface.co/papers/2503.20020,本文介绍了Gemini Robotics，一个新型的人工智能模型家族，旨在将AI技术应用于机器人领域。基于Gemini 2.0，Gemini Robotics是一个先进的视觉-语言-动作（VLA）模型，能够直接控制机器人并执行复杂的操作任务。该模型具备对不同物体类型和位置的适应能力，能够在未知环境中执行多样化的指令。通过进一步的微调，Gemini Robotics可以学习新任务并适应不同的机器人形态。此外，Gemini Robotics-ER模型增强了其在物理世界的空间和时间理解能力，为机器人应用提供了广泛的支持。这一研究标志着实现通用机器人技术的重要进展。,9
"MCTS-RAG: Enhancing Retrieval-Augmented Generation with Monte Carlo Tree
  Search",MCTS-RAG：通过蒙特卡洛树搜索增强检索增强生成,LLM,Other,https://arxiv.org/pdf/2503.20757,https://huggingface.co/papers/2503.20757,本文提出了一种新方法MCTS-RAG，通过结合检索增强生成（RAG）和蒙特卡罗树搜索（MCTS），提升小型语言模型在知识密集型任务中的推理能力。MCTS-RAG通过动态整合检索和推理，优化决策过程，克服了传统RAG和MCTS方法在知识整合上的局限。实验结果表明，该方法在多个推理和知识密集型数据集上表现出色，使小型模型的性能与前沿大模型（如GPT-4o）相当，设定了小型模型推理的新标准。这一创新为知识密集型任务提供了更高的准确性和一致性。,6
