标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
MetaScale: Test-Time Scaling with Evolving Meta-Thoughts,MetaScale：基于演变元思维的测试时扩展,17 Mar 2025,LLM,Microsoft,https://arxiv.org/pdf/2503.13447,https://www.arxiv.org/abs/2503.13447,https://www.alphaxiv.org/abs/2503.13447,论文《MetaScale: Test-Time Scaling with Evolving Meta-Thoughts》提出了一种名为METASCALE的框架，旨在提高大型语言模型（LLMs）在复杂推理任务中的适应性。传统方法依赖于固定的推理模式，限制了模型的灵活性。METASCALE通过引入“元思考”策略，让模型在生成响应前先反思并选择最合适的认知策略。该框架利用多臂老虎机算法和遗传算法动态优化思维策略，从而在不同任务中提升准确性和泛化能力。实验结果表明，METASCALE在多项任务中显著优于标准推理方法，表现出更强的适应性和结构化响应能力。,0
VideoMind: A Chain-of-LoRA Agent for Long Video Reasoning,VideoMind：用于长视频推理的链式LoRA智能体,17 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.13444,https://www.arxiv.org/abs/2503.13444,https://www.alphaxiv.org/abs/2503.13444,本文介绍了VideoMind，一种新颖的视频语言代理，旨在实现长视频的时间推理。VideoMind通过角色驱动的工作流程整合了规划者、定位者、验证者和回答者等多个功能，提升了视频理解的准确性和效率。此外，采用了Chain-of-LoRA策略，使得不同角色之间的切换更加灵活，避免了多模型的计算开销。实验结果表明，VideoMind在多项视频理解任务中表现优异，推动了视频代理和长时序推理的研究进展。,0
Mitigating Visual Forgetting via Take-along Visual Conditioning for Multi-modal Long CoT Reasoning,通过随身视觉条件缓解视觉遗忘以实现多模态长链推理,17 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13360,https://www.arxiv.org/abs/2503.13360,https://www.alphaxiv.org/abs/2503.13360,本论文提出了一种名为“Take-along Visual Conditioning”（TVC）的策略，以解决多模态长链推理中视觉遗忘的问题。研究表明，多模态语言模型（MLLMs）在处理需要视觉输入的任务时，随着推理过程的进行，逐渐对视觉信息的关注减弱，导致性能下降。通过动态修剪冗余视觉信息并在关键推理阶段保留图像输入，TVC显著提高了模型在五个数学推理基准上的表现，平均提升3.4%。这一方法展示了在多模态推理系统中增强视觉关注的有效性，推动了该领域的研究进展。,0
ST-Think: How Multimodal Large Language Models Reason About 4D Worlds from Ego-Centric Videos,ST-Think：多模态大语言模型如何从自我中心视频中推理4D世界,16 Mar 2025,Multimodal LLM,Meta,https://arxiv.org/pdf/2503.12542,https://www.arxiv.org/abs/2503.12542,https://www.alphaxiv.org/abs/2503.12542,本文提出了Ego-ST Bench，一个新的基准，旨在评估多模态大型语言模型（MLLMs）在自我中心视角下的时空推理能力。该基准包含超过5000个问题-答案对，涵盖空间、时间和综合时空推理，特别关注前向和反向推理。研究中还引入了ST-R1视频模型，通过结合长链思维的监督微调和群体相对策略优化，显著提升了模型性能。该工作为理解和提高视频基础的时空推理提供了重要资源，推动了相关领域的研究进展。,0
Towards Self-Improving Systematic Cognition for Next-Generation Foundation MLLMs,面向下一代基础多模态大语言模型的自我改进系统认知,16 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.12303,https://www.arxiv.org/abs/2503.12303,https://www.alphaxiv.org/abs/2503.12303,本论文提出了一种名为自我改进认知（SICOG）的框架，旨在提升下一代多模态大语言模型（MLLMs）的系统性认知能力。尽管当前的MLLMs在多模态感知和推理方面已有显著进展，但仍面临细致感知和复杂推理的挑战。SICOG通过自生成数据进行多模态预训练，结合“描述链”和结构化的推理技术，显著提高了模型的感知和推理能力。实验表明，使用仅213K自生成的预训练样本，SICOG构建的MLLM在各项基准测试中表现优异，超越了现有的预训练方法。,0
Reflect-DiT: Inference-Time Scaling for Text-to-Image Diffusion Transformers via In-Context Reflection,Reflect-DiT：通过上下文反射实现文本到图像扩散变换器的推理时间扩展,15 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.12271,https://www.arxiv.org/abs/2503.12271,https://www.alphaxiv.org/abs/2503.12271,本文提出了一种名为Reflect-DiT的新方法，旨在提升文本到图像扩散模型的推理效率。与传统的基于生成多个样本并选择最佳结果的方法不同，Reflect-DiT通过引入上下文反思能力，使模型能够根据先前生成的图像及文本反馈进行自我改进。这种方法不仅减少了所需的样本数量，还显著提高了生成图像的质量。在实验中，Reflect-DiT在GenEval基准测试中实现了0.81的最高得分，超越了之前使用更大模型的最佳结果，展示了其在推理时间扩展中的有效性和潜力。,0
TimeZero: Temporal Video Grounding with Reasoning-Guided LVLM,TimeZero：基于推理引导的LVLM的时间视频定位,17 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13377,https://www.arxiv.org/abs/2503.13377,https://www.alphaxiv.org/abs/2503.13377,论文介绍了TimeZero，一种基于推理的语言视觉大模型（LVLM），旨在解决时间视频定位（TVG）任务。该模型通过增强推理过程，利用强化学习（RL）来精确定位长视频中的相关片段。与传统的监督微调方法相比，TimeZero通过引入多步推理和规则奖励机制，显著提高了在Charades和ActivityNet基准测试中的表现，达到了最先进的性能。研究表明，TimeZero在处理视频与语言关系时，能有效过滤冗余信息，从而更准确地响应用户查询。,0
Logic-in-Frames: Dynamic Keyframe Search via Visual Semantic-Logical Verification for Long Video Understanding,逻辑帧：通过视觉语义逻辑验证实现长视频理解的动态关键帧搜索,17 Mar 2025,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.13139,https://www.arxiv.org/abs/2503.13139,https://www.alphaxiv.org/abs/2503.13139,本论文提出了一种名为“Logic-in-Frames”的动态关键帧搜索框架，旨在提升长视频理解的效果。该方法通过视觉语义逻辑验证，系统地定义了四种基本逻辑关系（空间、时间、属性和因果），并利用这些关系动态更新帧采样分布，从而高效识别与特定查询相关的关键帧。实验结果表明，该方法在关键帧选择指标上达到了新的最优性能，并在视频问答任务中相较于现有方法取得了显著的性能提升，验证了其在连接文本查询与视觉时序推理方面的有效性。,0
Exploring 3D Activity Reasoning and Planning: From Implicit Human Intentions to Route-Aware Planning,探索3D活动推理与规划：从隐含人类意图到路线感知规划,17 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.12974,https://www.arxiv.org/abs/2503.12974,https://www.alphaxiv.org/abs/2503.12974,本论文提出了一种新的3D活动推理和规划方法，旨在从隐含的人类指令中推断意图，并生成详细的多步骤任务计划及其间的路线规划。为此，研究团队构建了ReasonPlan3D，一个大规模的数据集，涵盖多样化的3D场景和隐含指令，提供详细的步骤计划和路线规划注释。此外，设计了SHARP框架，通过动态更新的场景图捕捉关键对象及其空间关系，确保多步骤计划的一致性。实验证明，该方法有效提升了机器人理解隐含指令的能力，并能生成准确的执行计划，为人机交互和机器人任务规划提供了重要支持。,0
Unified Autoregressive Visual Generation and Understanding with Continuous Tokens,基于连续标记的统一自回归视觉生成与理解,17 Mar 2025,Multimodal LLM,"Google, DeepMind",https://arxiv.org/pdf/2503.13436,https://www.arxiv.org/abs/2503.13436,https://www.alphaxiv.org/abs/2503.13436,本文提出了UniFluid，一个统一的自回归框架，用于视觉生成和理解，利用连续视觉标记。该框架能够处理图像和文本的多模态输入，通过生成离散文本标记和连续图像标记，实现两者的联合训练。研究表明，尽管生成与理解任务之间存在固有权衡，通过精心调整的训练策略可以使两者相互促进，从而在多个任务上超越单任务基线。此外，UniFluid在下游任务（如图像编辑和视觉问答）中表现出强大的迁移能力，展示了其在多模态表示和建模能力上的潜力。,0
Progressive Human Motion Generation Based on Text and Few Motion Frames,基于文本和少量运动帧的渐进式人类动作生成,17 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.13300,https://www.arxiv.org/abs/2503.13300,https://www.alphaxiv.org/abs/2503.13300,本论文提出了一种新的文本-帧-运动生成方法（TF2M），旨在通过文本描述和少量运动帧生成更可控的人类动作。现有的文本到运动（T2M）方法在精确对齐生成动作和目标姿势方面存在挑战。为此，作者引入了渐进式运动生成（PMG）方法，从低不确定性到高不确定性逐步生成动作，并提出伪帧替换策略以减少训练和测试之间的差距。实验结果表明，PMG在仅使用一帧时显著优于现有T2M方法，验证了其有效性。这项研究对增强虚拟现实、游戏和影视制作中的人类动作生成具有重要意义。,0
ChainHOI: Joint-based Kinematic Chain Modeling for Human-Object Interaction Generation,ChainHOI：基于关节的运动链建模用于人机交互生成,17 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.13130,https://www.arxiv.org/abs/2503.13130,https://www.alphaxiv.org/abs/2503.13130,本论文提出了ChainHOI，一种新颖的文本驱动人机交互生成方法，旨在通过显式建模关节和运动链级别的交互，生成更自然和逼真的人机交互序列。与以往依赖全身姿势的隐式建模方法不同，ChainHOI通过引入关节图和生成时空图卷积网络（GST-GCN），直接捕捉关节之间的几何和语义关系。此外，论文还提出了基于运动学的交互模块，以确保生成动作符合生物力学原则。实验证明，ChainHOI在生成的交互质量和一致性方面显著优于现有方法，具有广泛的应用潜力，如增强现实、虚拟现实和游戏制作。,0
Rewards Are Enough for Fast Photo-Realistic Text-to-image Generation,奖励足以实现快速的照片级真实感文本到图像生成,17 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.13070,https://www.arxiv.org/abs/2503.13070,https://www.alphaxiv.org/abs/2503.13070,本文提出了一种新的文本到图像生成方法R0，强调奖励信号在生成过程中的主导作用。研究表明，随着条件的具体化和奖励信号的增强，传统的扩散损失变得过于昂贵，而奖励本身则成为生成的关键驱动力。R0通过将图像生成视为数据空间中的优化问题，旨在寻找具有高组合奖励的有效图像，从而实现快速的高质量生成。该方法挑战了现有的扩散后训练和条件生成的传统观念，为人本和奖励导向的生成研究提供了新视角。,0
From Head to Tail: Towards Balanced Representation in Large Vision-Language Models through Adaptive Data Calibration,从头到尾：通过自适应数据校准实现大型视觉语言模型的平衡表示,17 Mar 2025,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.12821,https://www.arxiv.org/abs/2503.12821,https://www.alphaxiv.org/abs/2503.12821,本文提出了一种名为自适应数据校准框架（ADR），旨在解决大型视觉语言模型（LVLMs）中的长尾问题。研究发现，LVLMs的训练数据存在头部概念过度代表和尾部概念不足的问题。ADR框架包括数据重平衡和数据合成两个阶段，通过适应性地调整数据分布和利用去噪扩散概率模型补充稀缺图像，显著改善了模型在各类任务中的表现。实验结果显示，该方法在不增加训练数据量的情况下，使LLaVA 1.5的平均性能提升了4.36%。此研究为提升LVLMs的训练数据平衡性提供了新思路。,0
Versatile Physics-based Character Control with Hybrid Latent Representation,基于物理的多功能角色控制与混合潜在表示,17 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.12814,https://www.arxiv.org/abs/2503.12814,https://www.alphaxiv.org/abs/2503.12814,本论文提出了一种混合潜在表示的物理基础角色控制方法，旨在高效利用运动先验以适应多种控制任务。通过结合连续和离散潜在表示，作者构建了一个强大的运动嵌入，使得生成的动作既多样又平滑，克服了传统方法中的运动质量问题。论文中采用的残差向量量化技术进一步增强了离散运动先验的能力，提升了模仿学习和任务学习阶段的效果。实验表明，该模型能够在稀疏目标条件下生成自然的运动，展示了其在复杂场景中的适应性和鲁棒性。,0
A Survey on Human Interaction Motion Generation,人类交互运动生成的综述,17 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.12763,https://www.arxiv.org/abs/2503.12763,https://www.alphaxiv.org/abs/2503.12763,本论文对人类交互运动生成领域进行了全面的文献综述，首次系统性地回顾了人类与人、物体及场景之间的交互行为生成方法。研究指出，尽管深度生成模型的进步推动了该领域的发展，但在建模复杂的人类动态及其与外部环境的互动方面仍面临重大挑战。论文总结了相关解决方案和数据集，并提出了未来研究方向，为机器人、虚拟现实和动画等应用提供了重要的理论基础和实践指导。,0
Agents Play Thousands of 3D Video Games,智能体玩数千款3D视频游戏,17 Mar 2025,Agent,Tencent,https://arxiv.org/pdf/2503.13356,https://www.arxiv.org/abs/2503.13356,https://www.alphaxiv.org/abs/2503.13356,本文介绍了PORTAL框架，一种新型人工智能系统，能够通过语言引导生成策略，玩数千款3D视频游戏。该方法将决策问题转化为语言建模任务，利用大型语言模型生成特定领域的行为树，从而减少传统强化学习方法的计算负担，同时保持策略深度和适应性。PORTAL结合了基于规则的节点和神经网络组件，实现高层次的战略推理与精确的低层次控制。实验结果表明，PORTAL在效率、政策泛化和行为多样性方面显著优于传统方法，展示了在快速发展的用户生成内容游戏环境中创建智能代理的潜力。,0
Focusing Robot Open-Ended Reinforcement Learning Through Users' Purposes,通过用户目的聚焦机器人开放式强化学习,16 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.12579,https://www.arxiv.org/abs/2503.12579,https://www.alphaxiv.org/abs/2503.12579,本论文提出了一种名为“目的导向开放式学习”（POEL）的新方法，旨在提升开放式学习（OEL）机器人在用户特定任务中的学习效率。通过引入“目的”概念，POEL使机器人能够识别用户期望的目标，从而聚焦于与这些目标相关的任务学习。研究中，机器人通过语音识别接收用户指令，分析环境中的对象，并利用大型语言模型判断哪些对象与目的相关。实验结果表明，POEL在复杂环境中优于传统OEL方法，能够有效引导机器人学习与用户需求相关的知识，展示了其在自主任务执行中的潜力。,0
Being-0: A Humanoid Robotic Agent with Vision-Language Models and Modular Skills,Being-0: 一种具有视觉-语言模型和模块化技能的人形机器人代理,16 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.12533,https://www.arxiv.org/abs/2503.12533,https://www.alphaxiv.org/abs/2503.12533,论文介绍了Being-0，一个集成了视觉-语言模型和模块化技能的类人机器人框架。Being-0结合了基础模型（FM）用于高层任务规划和推理，以及一个模块化技能库，提供稳定的运动和灵巧操作能力。通过一个轻量级的连接器模块，Being-0能够将语言指令转化为可执行的技能命令，有效协调运动与操作，从而在复杂的现实环境中成功完成长时间的任务。实验结果表明，Being-0在解决多样化的机器人任务方面表现出色，展示了其在类人机器人研究中的重要潜力。,0
Can Language Models Follow Multiple Turns of Entangled Instructions?,语言模型能否遵循多轮纠缠指令？,17 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.13222,https://www.arxiv.org/abs/2503.13222,https://www.alphaxiv.org/abs/2503.13222,这篇论文探讨了大型语言模型（LLMs）在处理多轮复杂指令时的能力，特别是当这些指令相互交织或冲突时。研究构建了一个名为MULITURNINSTRUCT的数据集，包含约1100个高质量对话，涵盖信息检索、跨轮跟踪推理和冲突解决等多个难度层次。结果显示，尽管GPT模型在记忆能力上表现优异，但在需要选择性信息保留的隐私保护任务中效果较差。更大的模型虽然在推理能力上更强，但仍然难以有效解决指令冲突。这些发现突出了在复杂真实任务中，LLMs在多轮指令整合方面的改进空间。,0
VITED: Video Temporal Evidence Distillation,VITED：视频时间证据蒸馏,17 Mar 2025,Other,Meta,https://arxiv.org/pdf/2503.12855,https://www.arxiv.org/abs/2503.12855,https://www.alphaxiv.org/abs/2503.12855,论文《VITED: Video Temporal Evidence Distillation》提出了一种新框架，旨在解决复杂视频问答中的多步推理问题。现有模型在处理长视频时常常无法有效提取和定位关键证据，导致回答复杂问题时表现不佳。VITED模型通过自动构建证据链，识别视频中与问题相关的时间段及其视觉证据，从而实现时序推理。该模型不仅能够生成答案，还能提供支持答案的时序证据，显著提升了在长视频问答基准上的表现，超越了现有的最先进方法。,0
Leveraging Vision Capabilities of Multimodal LLMs for Automated Data Extraction from Plots,利用多模态大语言模型的视觉能力实现从图表中自动提取数据,16 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.12326,https://www.arxiv.org/abs/2503.12326,https://www.alphaxiv.org/abs/2503.12326,本论文探讨了利用多模态大型语言模型（LLMs）在研究图表中自动提取数据的潜力。研究表明，通过一种称为PlotExtract的零-shot提示方式，这些模型能够高效、准确地从具有两个坐标轴的图表中提取数据，精确度超过90%，召回率约为90%。该方法无需对模型进行微调，展示了多模态LLMs在高通量数据提取中的可行性，能够有效替代传统的手动数据提取方法，从而显著提高研究效率。,0
Unveiling Pitfalls: Understanding Why AI-driven Code Agents Fail at GitHub Issue Resolution,揭示陷阱：理解为何基于AI的代码代理在GitHub问题解决中失败,16 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.12374,https://www.arxiv.org/abs/2503.12374,https://www.alphaxiv.org/abs/2503.12374,这篇论文探讨了AI驱动的代码代理在GitHub问题解决中的失败原因。研究分析了3977个解决阶段的轨迹和3931个测试阶段的日志，发现Python执行错误与较低的解决率和更高的推理开销相关，识别了常见的错误类型，如ModuleNotFoundError和TypeError，以及更具挑战性的错误。论文还揭示了SWE-Bench平台中的三个影响基准公平性和准确性的错误，并向公众分享了数据集和分析脚本，为未来研究提供了透明度和基础。这项研究填补了对AI代理动态问题解决过程的理解空白，推动了软件工程领域的进步。,0
"SagaLLM: Context Management, Validation, and Transaction Guarantees for Multi-Agent LLM Planning",SagaLLM：多智能体LLM规划的上下文管理、验证和事务保证,15 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.11951,https://www.arxiv.org/abs/2503.11951,https://www.alphaxiv.org/abs/2503.11951,本文提出了SagaLLM，一个多智能体框架，旨在解决当前大型语言模型（LLM）在任务规划中的四大主要问题：自我验证不足、上下文管理不当、缺乏事务特性以及智能体间协调不足。通过引入专门的上下文管理代理和验证协议，SagaLLM能够在复杂的规划过程中保持关键约束和状态信息，确保决策的一致性和可靠性。实验结果表明，SagaLLM在处理复杂规划任务时，相较于现有的LLM模型，表现出更强的规划一致性和适应性，显著改善了多智能体系统的事务管理能力。,0
